"Film"	"Production Company(s)"	"Producer(s)"	"Year"
"123"	"Kings Row"	"Warner Bros."	"Hal B. Wallis"	1942
"124"	"The Magnificent Ambersons"	"Mercury, RKO Radio"	"Orson Welles"	1942
"125"	"The Pied Piper"	"20th Century Fox"	"Nunnally Johnson"	1942
"126"	"The Pride of the Yankees"	"Goldwyn, RKO Radio"	"Samuel Goldwyn"	1942
"127"	"Random Harvest"	"Metro-Goldwyn-Mayer"	"Sidney Franklin"	1942
"128"	"The Talk of the Town"	"Columbia"	"George Stevens"	1942
"129"	"Wake Island"	"Paramount"	"Joseph Sistrom"	1942
"130"	"Yankee Doodle Dandy"	"Warner Bros."	"Jack L. Warner, Hal B. Wallis, William Cagney"	1942
"131"	"Casablanca"	"Warner Bros."	"Hal B. Wallis"	1943
"132"	"For Whom the Bell Tolls"	"Paramount"	"Sam Wood"	1943
"133"	"Heaven Can Wait"	"20th Century Fox"	"Ernst Lubitsch"	1943
"134"	"The Human Comedy"	"Metro-Goldwyn-Mayer"	"Clarence Brown"	1943
"135"	"In Which We Serve"	"Two Cities Films"	"Noël Coward"	1943
"136"	"Madame Curie"	"Metro-Goldwyn-Mayer"	"Sidney Franklin"	1943
"137"	"The More the Merrier"	"Columbia"	"George Stevens"	1943
"138"	"The Ox-Bow Incident"	"20th Century Fox"	"Lamar Trotti"	1943
"139"	"The Song of Bernadette"	"20th Century Fox"	"William Perlberg"	1943
"140"	"Watch on the Rhine"	"Warner Bros."	"Hal B. Wallis"	1943
"141"	"Going My Way"	"Paramount"	"Leo McCarey"	1944
"142"	"Double Indemnity"	"Paramount"	"Joseph Sistrom"	1944
"143"	"Gaslight"	"Metro-Goldwyn-Mayer"	"Arthur Hornblow, Jr."	1944
"144"	"Since You Went Away"	"Selznick International, United Artists"	"David O. Selznick"	1944
"145"	"Wilson"	"20th Century Fox"	"Darryl F. Zanuck"	1944
"146"	"The Lost Weekend"	"Paramount"	"Charles Brackett"	1945
"147"	"Anchors Aweigh"	"Metro-Goldwyn-Mayer"	"Joe Pasternak"	1945
"148"	"The Bells of St. Mary's"	"RKO Radio"	"Leo McCarey"	1945
"149"	"Mildred Pierce"	"Warner Bros."	"Jerry Wald"	1945
"150"	"Spellbound"	"Selznick International, United Artists"	"David O. Selznick"	1945
"151"	"The Best Years of Our Lives"	"RKO Radio"	"Samuel Goldwyn"	1946
